quarter,industry1,industry2,occupation1,job_vacancy
2022-Q2,total,total,"professional, managers, executive and technicians",70600
2022-Q2,total,total,"clerical, sales and services workers",26200
2022-Q2,total,total,"production and transport operators, cleaners and labourers",30100
2022-Q2,manufacturing,"food, beverages and tobacco",total,1800
2022-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",300
2022-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",700
2022-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",800
2022-Q2,manufacturing,"paper,rubber,plastic products and printing",total,800
2022-Q2,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2022-Q2,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2022-Q2,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",500
2022-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",total,1200
2022-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",800
2022-Q3,total,total,"professional, managers, executive and technicians",60000
2022-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",100
2022-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",300
2022-Q2,manufacturing,"fabricated metal products, machinery and equipment",total,4700
2022-Q2,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",2000
2022-Q2,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",300
2022-Q2,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",2400
2022-Q2,manufacturing,"electronic, computer and optical products",total,3600
2022-Q2,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",2300
2022-Q2,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2022-Q2,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1300
2022-Q2,manufacturing,transport equipment,total,2400
2022-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",1200
2022-Q2,manufacturing,transport equipment,"clerical, sales and services workers",100
2022-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1200
2022-Q2,manufacturing,other manufacturing industries,total,1400
2022-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",700
2022-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",200
2022-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2022-Q2,construction,construction,total,11700
2022-Q2,construction,construction,"professional, managers, executive and technicians",2600
2022-Q2,construction,construction,"clerical, sales and services workers",800
2022-Q2,construction,construction,"production and transport operators, cleaners and labourers",8200
2022-Q2,services,wholesale and retail trade,total,12500
2022-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",4800
2022-Q2,services,wholesale and retail trade,"clerical, sales and services workers",5900
2022-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1700
2022-Q2,services,transportation and storage,total,8200
2022-Q2,services,transportation and storage,"professional, managers, executive and technicians",2200
2022-Q2,services,transportation and storage,"clerical, sales and services workers",2200
2022-Q2,services,transportation and storage,"production and transport operators, cleaners and labourers",3800
2022-Q2,services,accommodation and food services,total,11300
2022-Q2,services,accommodation and food services,"professional, managers, executive and technicians",2300
2022-Q2,services,accommodation and food services,"clerical, sales and services workers",6700
2022-Q2,services,accommodation and food services,"production and transport operators, cleaners and labourers",2300
2022-Q2,services,information and communications,total,12100
2022-Q2,services,information and communications,"professional, managers, executive and technicians",11200
2022-Q2,services,information and communications,"clerical, sales and services workers",600
2022-Q2,services,information and communications,"production and transport operators, cleaners and labourers",300
2022-Q2,services,financial and insurance services,total,10700
