quarter,industry1,industry2,industry3,occupation1,resignation_rate
2019-Q1,services,accommodation and food services,accommodation,"clerical, sales and services workers",2.8
2019-Q1,services,accommodation and food services,accommodation,"production and transport operators, cleaners and labourers",2.6
2019-Q1,services,accommodation and food services,food and beverage services,total,3.5
2019-Q1,services,accommodation and food services,food and beverage services,"professional, managers, executive and technicians",2.2
2019-Q1,services,accommodation and food services,food and beverage services,"clerical, sales and services workers",4
2019-Q1,services,accommodation and food services,food and beverage services,"production and transport operators, cleaners and labourers",3.5
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing",total,1.3
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing","professional, managers, executive and technicians",1.2
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing","clerical, sales and services workers",1.5
2019-Q1,services,information and communications,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",3.7
2019-Q1,services,information and communications,it and other information services,total,1.7
2019-Q1,services,information and communications,it and other information services,"professional, managers, executive and technicians",1.7
2019-Q1,services,information and communications,it and other information services,"clerical, sales and services workers",1.9
2019-Q1,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",3.2
2019-Q1,services,financial and insurance services,financial services,total,1.1
2019-Q1,services,financial and insurance services,financial services,"professional, managers, executive and technicians",1
2019-Q1,services,financial and insurance services,financial services,"clerical, sales and services workers",2.2
2019-Q1,services,financial and insurance services,financial services,"production and transport operators, cleaners and labourers",1.7
2019-Q1,services,financial and insurance services,insurance services,total,1.3
2019-Q1,services,financial and insurance services,insurance services,"professional, managers, executive and technicians",1.2
2019-Q1,services,financial and insurance services,insurance services,"clerical, sales and services workers",1.4
2019-Q1,services,financial and insurance services,insurance services,"production and transport operators, cleaners and labourers",-
2019-Q1,services,real estate services,real estate services,total,2.8
2019-Q1,services,real estate services,real estate services,"professional, managers, executive and technicians",1.3
2019-Q1,services,real estate services,real estate services,"clerical, sales and services workers",3.5
2019-Q1,services,real estate services,real estate services,"production and transport operators, cleaners and labourers",4.6
2019-Q1,services,professional services,"legal, accounting and management services",total,1.7
